@relation cluter

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric

@data
-0.147816,0.046691,-0.190177,0.021402,-0.070732,0.037751,0.152387,-0.33544,0.204233,0.048771,-0.003905,-0.151604,-0.205995,0.390564,0.251888,0.174541,0.12808,-0.124478,0.211944,0.067029,0.203012,-0.096187,0.237664,-0.00751,-0.005286,-0.206467,0.243871,-0.323804,0.010751,-0.19408,-0.094477,0.159067,-0.008661,-0.386278,-0.166914,0.343779,-0.207527,-0.089979,-0.205589,0.033195,0.267282,0.088152,-0.134913,-0.03595,0.106946,0.130337,0.08642,0.008473,-0.168972,-0.181423
-0.171178,-0.042548,0.061077,0.039591,-0.117871,-0.10871,0.024281,0.00366,0.051426,0.063474,0.216431,-0.126424,-0.069394,-0.079223,-0.050444,-0.071383,0.107623,-0.132625,0.181466,-0.189892,0.286827,0.004274,0.006296,-0.008609,-0.15454,-0.15592,-0.176024,-0.045328,-0.199482,0.03792,0.085408,0.467337,0.17122,-0.438414,0.084969,-0.067303,0.065958,-0.05253,0.016349,0.159115,0.111089,0.068824,0.02918,0.165953,-0.243255,0.139514,0.466306,-0.163153,-0.057207,0.209208
0.237194,-0.037891,0.219843,-0.061268,-0.007964,0.020622,-0.191882,0.037473,-0.090145,-0.139686,-0.107586,0.09442,0.215667,0.078859,0.181708,0.001454,0.219059,0.002682,0.098304,-0.029988,0.158165,0.049468,0.025987,0.127951,0.331064,0.035466,-0.073662,-0.166231,0.199593,-0.128673,0.323141,0.070043,0.141036,-0.128924,-0.082518,-0.035826,-0.026429,-0.203118,0.114824,-0.022598,-0.083165,0.311138,0.036832,0.061807,-0.067255,-0.074301,0.233481,0.178696,-0.163953,0.343425
-0.000248,-0.035007,-0.038502,-0.054252,-0.01046,0.062013,-0.123045,-0.05196,0.113231,-0.050467,-0.007897,0.152648,0.031433,0.051854,-0.049819,-0.242657,0.007469,-0.122151,0.221378,-0.02624,0.190519,-0.153264,0.032851,-0.069492,-0.129176,0.223502,-0.168954,-0.105455,-0.028783,0.065228,-0.168034,0.194614,0.082877,0.0808,0.190424,0.011697,0.148783,-0.008003,-0.158662,0.003099,0.138427,-0.259635,-0.189092,0.129702,-0.288615,-0.0557,-0.007918,0.145938,0.039057,-0.156853
0.060582,-0.222831,0.093873,-0.078884,0.032252,0.182153,-0.097716,-0.026215,0.059444,-0.028486,0.176353,0.113304,-0.070705,0.022406,-0.111264,-0.015408,-0.107138,-0.01195,-0.023209,-0.059963,-0.215227,0.05961,0.110799,0.00513,0.042832,-0.003762,-0.141408,0.006127,0.008018,-0.046682,-0.214933,0.16603,0.090258,0.109466,0.034261,0.026906,0.075442,0.107632,0.085807,-0.113237,0.115125,0.099638,-0.062256,-0.032565,-0.019628,0.096914,0.091218,0.026569,0.051235,-0.097555
-0.068619,-0.2477,0.035819,-0.020483,0.356649,-0.073597,-0.165068,0.247291,-0.247762,0.090934,-0.16295,-0.218146,0.058355,0.059198,-0.056337,0.2184,0.067196,-0.165838,-0.036024,-0.08347,-0.110834,0.17586,0.077571,0.051272,0.183863,0.197053,-0.215472,0.027365,-0.275972,0.074821,-0.183967,-0.226297,0.262339,-0.414997,-0.046903,-0.088042,0.08514,0.101561,0.083892,0.263372,0.2246,0.230081,-0.121886,0.241547,0.078542,-0.115545,-0.140728,0.04378,0.054246,0.145003
-0.141778,0.081902,0.086589,0.174744,0.089277,0.11431,0.151988,0.049132,-0.207057,0.081592,0.002842,-0.000479,-0.017309,-0.149246,-0.090767,0.094958,0.02895,0.067837,0.013697,-0.152313,-0.065685,0.375982,-0.067457,-0.194083,-0.207445,-0.058156,0.017014,0.266101,-0.175763,0.141962,0.01518,0.074338,0.152366,-0.152104,0.074372,0.014922,0.109241,0.085987,0.14605,0.096917,-0.074165,0.037348,0.134298,-0.068202,-0.0888,-0.05219,0.035647,-0.019945,-0.081482,0.017551
-0.118403,0.178084,0.075093,-0.011452,-0.16135,-0.009802,0.138291,0.000035,0.003079,0.013582,-0.109617,-0.007379,-0.103616,-0.233062,-0.015721,0.088139,0.150624,-0.040405,-0.043503,-0.180143,-0.111838,0.254556,0.035976,-0.045733,-0.083287,0.062167,0.130276,0.259372,-0.185086,0.087148,0.032592,0.041205,0.066842,-0.07714,-0.006154,-0.095403,-0.084045,-0.010073,0.113698,-0.016966,-0.089028,0.015431,0.062907,-0.108492,-0.094498,-0.029867,-0.124104,0.013978,-0.030703,0.081178
0.105079,0.018031,-0.035743,0.015492,0.119186,0.001267,0.060727,0.17569,-0.214308,0.026592,-0.025169,0.038134,-0.223239,-0.019227,-0.052998,-0.240971,-0.030856,-0.089382,-0.03871,-0.269716,0.19202,0.197772,-0.062649,0.05247,-0.053798,0.041467,0.067285,0.042198,-0.007397,0.250354,-0.0335,0.184912,0.121376,-0.051555,0.053763,0.148445,-0.103526,-0.074178,-0.178059,0.076622,0.158566,0.051221,0.056148,0.177053,0.132398,-0.204148,0.146415,-0.096401,-0.033949,-0.100649
-0.118064,-0.00724,-0.074013,-0.159689,-0.040385,-0.05142,-0.083337,0.005293,0.030712,0.016971,0.160676,-0.013336,0.065226,0.251889,-0.099271,-0.060695,-0.085026,-0.088069,-0.071382,-0.060379,-0.042977,-0.085562,0.173845,0.05254,0.128413,-0.000207,-0.011172,-0.039006,0.105806,-0.121893,0.119989,0.023325,-0.025567,-0.001114,-0.05207,0.033685,-0.045311,-0.044928,-0.031694,0.133593,-0.130237,0.032949,0.004398,-0.148561,-0.057169,0.200921,0.154758,0.018092,-0.140829,-0.158349
